Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
United States,"USA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","2.6951925838264","1.56440685438301","2.28911338767897","2.11783009919849","2.52381981441982","2.94555045455233","1.81945147474293","2.45762230322211","2.96650506916633","2.58382533018855","-2.16302913866514","6.05505293304576","2.51237531983308","2.88755600906016"
United States,"USA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.6400434423899","3.156841568622","2.06933726526067","1.46483265562717","1.62222297740817","0.118627135552451","1.26158320570536","2.13011000365961","2.44258329692817","1.81221007526021","1.23358439630629","4.69785886363742","8.00279982052121","4.11633838374488"
United States,"USA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","9.633","8.949","8.069","7.375","6.168","5.28","4.869","4.355","3.896","3.669","8.055","5.349","3.65","3.638"
Japan,"JPN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","4.09791791930137","0.0238095237748297","1.37475099920874","2.0051001767726","0.296205514142628","1.56062669674904","0.753826745903538","1.67533175166503","0.643391023460339","-0.402169200910933","-4.14711889947692","2.55932023865617","0.954736937781391","1.67901952310368"
Japan,"JPN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","-0.728243207517779","-0.27245561610124","-0.0440645104432602","0.335037912184741","2.75922671353253","0.795279630579839","-0.127258844489754","0.484199796126385","0.989094598021848","0.46877615938395","-0.024995834027731","-0.233352779398264","2.49770278172255","3.26813365933163"
Japan,"JPN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","5.103","4.55","4.358","4.038","3.589","3.385","3.132","2.822","2.467","2.351","2.809","2.809","2.615","2.6"
India,"IND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","8.49758470221235","5.24131619937695","5.45638755166587","6.38610640094825","7.41022760508854","7.99625378571471","8.25630550179086","6.79538341897911","6.45385134497769","3.87143694070356","-5.77772470686801","9.68959249192875","6.9870393257555","8.1529363109041"
India,"IND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","11.9893899204244","8.91179336483371","9.47899691419801","10.0178784746102","6.66565671867899","4.90697344127256","4.94821634062141","3.32817337461298","3.9388264669163","3.72950573539129","6.62343677628535","5.13140747176369","6.69903414079852","5.64914318907925"
India,"IND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","3.115","..","3.222","..","..","..","..","..","7.652","6.51","7.859","6.38","4.822","4.172"
Germany,"DEU","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","4.14676754532437","3.75796886586348","0.474291305855544","0.386224576109953","2.16949892879079","1.65271977174628","2.29471067684281","2.71602451931592","1.11644310926225","0.987893349167578","-4.09513749064689","3.66999986156735","1.36973105536585","-0.266438410090913"
Germany,"DEU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.1038103778926","2.07517283735874","2.00848884782956","1.50472330251876","0.906794000434246","0.514426137125456","0.491747008445174","1.50949485109628","1.73216879766942","1.44565976888253","0.144877925813982","3.06666666666673","6.87257438551097","5.94643667725823"
Germany,"DEU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","7.043","5.967","5.372","5.316","4.98","4.612","4.104","3.781","3.384","3.163","3.881","3.594","3.12","3.068"
Turkiye,"TUR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","8.42710432276191","11.2001105833504","4.78849271108008","8.48581699653026","4.9397151613658","6.08448690443663","3.32308420845746","7.50199748917491","3.0131703931215","0.818514526726673","1.85987303976462","11.4393956926566","5.53342787492781","5.11116818488702"
Turkiye,"TUR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","8.56644420552976","6.471879671151","8.89156996512163","7.49309030547693","8.85457271364324","7.67085364845877","7.7751341532833","11.1443110840765","16.3324638988928","15.1768215720022","12.2789574462574","19.5964926913324","72.3088359891207","53.8594087593315"
Turkiye,"TUR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","11.879","9.789","9.21","9.713","9.901","10.304","10.899","10.919","10.956","13.73","13.148","11.969","10.465","9.388"
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","","","","","","",""
Last Updated: 04/15/2025,"","","","","","","","","","","","","","","","",""
